SFTYPE,OFFENSE,RACE,lat,lon,beatnumdot,Year,Month,BEAT_NO
NA,NA,B,38.035987303807474,-78.48755684308072,05,2019,12,10
NA,NA,B,38.036225160374215,-78.4936174526838,05,2019,12,10
NA,NA,B,38.036750170183836,-78.49095044826522,05,2019,12,10
NA,NA,B,38.036081306333365,-78.48770284700302,05,2019,12,10
NA,NA,B,38.03767199822139,-78.49159270764949,05,2019,12,10
NA,NA,B,38.03699030333648,-78.48943082094718,05,2019,12,10
NA,NA,B,38.0365742784045,-78.49191056011333,05,2019,12,10
NA,NA,B,38.035598534522165,-78.49143924337743,05,2019,02,10
NA,NA,B,38.03557450518987,-78.49235626184766,05,2019,02,10
NA,NA,B,38.03633390866113,-78.49155578704132,05,2019,02,10
NA,NA,B,38.03453518797338,-78.49063040979455,05,2019,02,10
NA,NA,B,38.03666230302843,-78.49334265084573,05,2019,02,10
NA,NA,B,38.03573249217347,-78.48387747493072,06,2019,07,10
NA,NA,B,38.04353018654725,-78.47897944612426,06,2019,07,10
NA,NA,B,38.0373152494937,-78.48466185513226,06,2019,06,10
NA,NA,B,38.035044676513095,-78.48501779105311,06,2019,06,10
NA,NA,B,38.03982433133694,-78.47854110153686,06,2019,06,10
NA,NA,B,38.03966775384805,-78.48226435595265,06,2019,06,10
NA,NA,B,38.04113729971002,-78.48012588704484,06,2019,05,10
NA,NA,B,38.03906085547668,-78.47997582155357,06,2019,11,10
NA,NA,B,38.036898741397515,-78.48227304381187,06,2019,10,10
NA,NA,B,38.039282247387504,-78.48521548104199,06,2019,10,10
NA,NA,B,38.04216983684721,-78.47814379442389,06,2019,09,10
NA,NA,B,38.03867226252921,-78.48745893342434,06,2019,09,10
NA,NA,B,38.041293735580645,-78.47743435695898,06,2019,09,10
NA,NA,B,38.03908669824154,-78.48142869596875,06,2019,09,10
NA,NA,W,38.036795187209336,-78.46974708644268,07,2019,08,10
NA,NA,W,38.038915261027476,-78.47218806684683,07,2019,08,10
NA,NA,W,38.038901709234665,-78.46797812452037,07,2019,08,10
NA,NA,W,38.03010272247854,-78.47430638209386,08,2019,12,10
NA,NA,W,38.034068593246076,-78.46391203762221,08,2019,02,10
NA,NA,W,38.03805923770678,-78.46839454641253,08,2019,07,10
NA,NA,W,38.030638738836636,-78.47324521766616,08,2019,06,10
NA,NA,W,38.0370323907279,-78.46436629772384,08,2019,06,10
NA,NA,W,38.030558200957245,-78.47372387001191,08,2019,06,10
NA,NA,W,38.032207966614706,-78.46830655324246,08,2019,06,10
NA,NA,W,38.03211215923643,-78.47049472544367,08,2019,06,10
NA,NA,W,38.03004378685228,-78.47375673191983,08,2019,06,10
NA,NA,W,38.03114448397208,-78.4668984918862,09,2019,06,10
NA,NA,W,38.0257792192143,-78.46782978825978,09,2019,06,10
NA,NA,W,38.02772926838141,-78.46688147536868,09,2019,06,10
NA,NA,W,38.02760526655795,-78.4690253037302,09,2019,06,10
NA,NA,W,38.025843351063465,-78.46922384765982,09,2019,05,10
